T,input_acc,W1,W2,W3,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,Wb1,Wb2,Wb3
12.709999999999773,9.58289446528697,-0.0012157627216978577,-0.0002459294860218306,-0.0001289138885490648,0.0,0.0,0.9342923049119257,0.0,0.0,-0.09595793313792933,0.0,0.0,0.0,-3.7114460556483593e-07,-7.524367908973722e-08,-1.2341380083744293e-11,-3.7114460556483593e-07,-7.524367908973722e-08,-1.2341380083744293e-11
12.719999999999773,9.582685178447825,-0.0012153871911139743,-0.00024584916753741344,-0.0001289105838388864,0.0,0.0,0.933328179697133,0.0,0.0,-0.09686747067011303,0.0,0.0,0.0,-3.599784278259705e-07,-7.297705136026032e-08,-1.1956997833040143e-11,-3.599784278259705e-07,-7.297705136026032e-08,-1.1956997833040143e-11
12.729999999999773,9.582482224791459,-0.00121501773014004,-0.00024577019360762074,-0.00012890735129943585,0.0,0.0,0.93235494838824,0.0,0.0,-0.09777914127351872,0.0,0.0,0.0,-3.487579799145988e-07,-7.069960124261438e-08,-1.1571414596535906e-11,-3.487579799145988e-07,-7.069960124261438e-08,-1.1571414596535906e-11
12.739999999999773,9.582285644008337,-0.001214654337386429,-0.00024569256473453224,-0.00012890419151971523,0.0,0.0,0.9313725899757538,0.0,0.0,-0.09869288063605797,0.0,0.0,0.0,-3.3748576943696465e-07,-6.84118384093035e-08,-1.1184743439333259e-11,-3.3748576943696465e-07,-6.84118384093035e-08,-1.1184743439333259e-11
12.749999999999773,9.58209547486418,-0.0012142970108584717,-0.0002456162812818992,-0.0001289011050786135,0.0,0.0,0.9303810840953352,0.0,0.0,-0.09960862404049003,0.0,0.0,0.0,-3.261643113953605e-07,-6.611427392614252e-08,-1.0797097010098342e-11,-3.261643113953605e-07,-6.611427392614252e-08,-1.0797097010098342e-11
12.759999999999772,9.581911755188493,-0.0012139457479591889,-0.00024554134347550075,-0.00012889809254489355,0.0,0.0,0.9293804110318047,0.0,0.0,-0.1005263063738171,0.0,0.0,0.0,-3.14796127601999e-07,-6.380742013227685e-08,-1.0408587501279057e-11,-3.14796127601999e-07,-6.380742013227685e-08,-1.0408587501279057e-11
12.769999999999772,9.581734521863083,-0.0012136005454919804,-0.0002454677514034791,-0.0001288951544769569,0.0,0.0,0.9283705517230516,0.0,0.0,-0.10144586213679724,0.0,0.0,0.0,-3.033837460994495e-07,-6.14917905215862e-08,-1.0019326610214977e-11,-3.033837460994495e-07,-6.14917905215862e-08,-1.0019326610214977e-11
12.779999999999772,9.581563810810584,-0.00121326139966341,-0.0002453955050167202,-0.0001288922914227952,0.0,0.0,0.9273514877638489,0.0,0.0,-0.10236722545357313,0.0,0.0,0.0,-2.9192970058786614e-07,-5.916789962551846e-08,-9.629425501152878e-12,-2.9192970058786614e-07,-5.916789962551846e-08,-9.629425501152878e-12
12.789999999999772,9.581399656982953,-0.0012129283060859175,-0.0002453246041292293,-0.00012888950391976418,0.0,0.0,0.9263232014095703,0.0,0.0,-0.10329033008141913,0.0,0.0,0.0,-2.804365298591684e-07,-5.683626289738766e-08,-9.238994768178176e-12,-2.804365298591684e-07,-5.683626289738766e-08,-9.238994768178176e-12
12.799999999999772,9.581242094350015,-0.0012126012597805918,-0.0002452550484184791,-0.00012888679249449558,0.0,0.0,0.9252856755798107,0.0,0.0,-0.10421510942060441,0.0,0.0,0.0,-2.6890677723836354e-07,-5.449739659817517e-08,-8.848144399072763e-12,-2.6890677723836354e-07,-5.449739659817517e-08,-8.848144399072763e-12
12.809999999999771,9.58109115588797,-0.0012122802551799239,-0.00024518683742579396,-0.00012888415766271086,0.0,0.0,0.9242388938619056,0.0,0.0,-0.10514149652437338,0.0,0.0,0.0,-2.573429900322681e-07,-5.215181768388742e-08,-8.456983740111378e-12,-2.573429900322681e-07,-5.215181768388742e-08,-8.456983740111378e-12
12.819999999999771,9.580946873567889,-0.0012119652861306031,-0.00024511997055671743,-0.00012888159992916002,0.0,0.0,0.9231828405143507,0.0,0.0,-0.10606942410904296,0.0,0.0,0.0,-2.4574771898570306e-07,-4.980004369448594e-08,-8.065621461802042e-12,-2.4574771898570306e-07,-4.980004369448594e-08,-8.065621461802042e-12
